timestamp,value,status,longitude,latitude
16:33:42,45,ARMED,11.650227,76.166492
16:33:43,41,ARMED,11.649727,76.167492
16:33:44,40,ARMED,11.650227,76.166492
16:33:45,42,ARMED,11.650227,76.167492
16:33:46,45,ARMED,11.650227,76.166992
16:33:47,45,ARMED,11.650227,76.166492
16:33:48,44,ARMED,11.650727,76.166992
16:33:49,44,ARMED,11.649727,76.166492
16:33:50,41,ARMED,11.650727,76.167492
16:33:51,43,ARMED,11.650727,76.166492
16:33:52,40,ARMED,11.650727,76.166492
16:33:53,44,ARMED,11.650727,76.167492
16:33:54,41,ARMED,11.650227,76.166992
16:33:55,40,ARMED,11.650227,76.166492
16:33:56,40,ARMED,11.650227,76.167492
16:33:57,41,ARMED,11.649727,76.166492
16:33:58,43,ARMED,11.650227,76.166492
16:33:59,45,ARMED,11.649727,76.166992
16:34:00,44,ARMED,11.649727,76.167492
16:34:06,45,ARMED,11.650727,76.167492
16:34:10,44,ARMED,11.650727,76.166492
16:34:11,43,ARMED,11.650227,76.167492
16:34:12,41,ARMED,11.650227,76.166992
16:34:13,41,ARMED,11.649727,76.166992
16:34:14,44,ARMED,11.650727,76.167492
16:34:15,42,ARMED,11.650727,76.166492
16:34:16,45,ARMED,11.650727,76.167492
16:34:17,44,ARMED,11.650227,76.167492
16:34:18,42,ARMED,11.650727,76.166492
16:34:19,45,ARMED,11.650727,76.167492
16:34:20,45,ARMED,11.650727,76.167492
16:34:21,44,ARMED,11.650727,76.166492
16:34:22,45,ARMED,11.649727,76.166992
16:34:23,43,ARMED,11.650727,76.167492
16:34:24,40,ARMED,11.649727,76.166492
16:34:25,45,ARMED,11.649727,76.167492
16:34:26,43,ARMED,11.650727,76.167492
16:34:27,42,ARMED,11.649727,76.167492
16:34:28,44,ARMED,11.650727,76.167492
16:34:29,41,ARMED,11.649727,76.167492
16:34:30,42,ARMED,11.649727,76.166492
16:34:31,43,ARMED,11.650227,76.166492
16:34:32,43,ARMED,11.650727,76.166492
16:34:33,40,ARMED,11.650727,76.166492
16:34:34,44,ARMED,11.650727,76.166492
16:34:35,42,ARMED,11.649727,76.166992
16:34:36,44,ARMED,11.649727,76.167492
16:34:37,40,ARMED,11.650227,76.167492
16:34:38,45,ARMED,11.650727,76.166492
16:34:39,44,ARMED,11.650227,76.166492
16:34:40,40,ARMED,11.650727,76.167492
16:34:41,44,ARMED,11.650227,76.167492
16:34:42,42,ARMED,11.649727,76.166992
16:34:43,41,ARMED,11.650227,76.167492
16:34:44,41,ARMED,11.650727,76.166992
16:34:45,45,ARMED,11.649727,76.167492
16:34:46,45,ARMED,11.650727,76.166992
16:34:47,44,ARMED,11.650227,76.166492
16:34:49,40,ARMED,11.650727,76.167492
16:34:50,41,ARMED,11.650727,76.167492
16:34:51,42,ARMED,11.649727,76.166992
16:34:52,42,ARMED,11.650227,76.166492
16:34:53,44,ARMED,11.650227,76.167492
16:34:54,42,ARMED,11.650727,76.166492
16:34:55,45,ARMED,11.650727,76.167492
16:34:56,44,ARMED,11.650227,76.166492
16:34:57,45,ARMED,11.649727,76.166992
16:34:58,44,ARMED,11.650227,76.166992
16:34:59,43,ARMED,11.649727,76.166492
16:35:00,40,ARMED,11.649727,76.167492
16:35:01,43,ARMED,11.650227,76.167492
16:35:02,44,ARMED,11.649727,76.166492
16:35:03,40,ARMED,11.650227,76.166992
16:35:04,44,ARMED,11.649727,76.167492
16:35:05,41,ARMED,11.649727,76.167492
16:35:06,43,ARMED,11.650227,76.166492
16:35:07,44,ARMED,11.650727,76.166492
16:35:08,40,ARMED,11.650227,76.166992
16:35:09,44,ARMED,11.650727,76.167492
16:35:10,44,ARMED,11.650727,76.166492
16:35:11,41,ARMED,11.650727,76.167492
16:35:12,45,ARMED,11.650727,76.166492
